ok
Dest | Next Hop | Dist | Shortest-Path
8 | 12 | 17 |  [9->21->3->8]
9 | 9 | 0 |  [9]
10 | 12 | 17 |  [9->21->01]
11 | 12 | 33 |  [9->21->3->8->11]
12 | 12 | 5 |  [9->21]
13 | 13 | 7 |  [9->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 5 | 9 |  [01->5->1]
2 | 5 | 29 |  [01->5->1->7->2]
3 | 5 | 17 |  [01->5->1->7->3]
4 | 4 | 11 |  [01->4]
5 | 5 | 3 |  [01->5]
6 | 12 | 28 |  [01->21->9->31->6]
7 | 5 | 16 |  [01->5->1->7]
8 | 5 | 21 |  [01->5->1->7->3->8]
9 | 12 | 17 |  [01->21->9]
10 | 10 | 0 |  [01]
11 | 5 | 37 |  [01->5->1->7->3->8->11]
12 | 12 | 12 |  [01->21]
13 | 12 | 24 |  [01->21->9->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 8 | 28 |  [11->8->3->7->1]
2 | 6 | 27 |  [11->6->2]
3 | 8 | 20 |  [11->8->3]
4 | 6 | 44 |  [11->6->4]
5 | 8 | 34 |  [11->8->3->7->1->5]
6 | 6 | 25 |  [11->6]
7 | 8 | 21 |  [11->8->3->7]
8 | 8 | 16 |  [11->8]
9 | 8 | 33 |  [11->8->3->21->9]
10 | 8 | 37 |  [11->8->3->7->1->5->01]
11 | 11 | 0 |  [11]
12 | 8 | 28 |  [11->8->3->21]
13 | 6 | 29 |  [11->6->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 7 | 15 |  [21->7->1]
2 | 9 | 18 |  [21->9->31->6->2]
3 | 3 | 8 |  [21->3]
4 | 10 | 23 |  [21->01->4]
5 | 10 | 15 |  [21->01->5]
6 | 9 | 16 |  [21->9->31->6]
7 | 7 | 8 |  [21->7]
8 | 3 | 12 |  [21->3->8]
9 | 9 | 5 |  [21->9]
10 | 10 | 12 |  [21->01]
11 | 3 | 28 |  [21->3->8->11]
12 | 12 | 0 |  [21]
13 | 9 | 12 |  [21->9->31]
Dest | Next Hop | Dist | Shortest-Path
---------------------------------------
1 | 6 | 26 |  [31->6->2->7->1]
2 | 6 | 6 |  [31->6->2]
3 | 9 | 20 |  [31->9->21->3]
4 | 6 | 23 |  [31->6->4]
5 | 9 | 27 |  [31->9->21->01->5]
6 | 6 | 4 |  [31->6]
7 | 6 | 19 |  [31->6->2->7]
8 | 6 | 21 |  [31->6->8]
9 | 9 | 7 |  [31->9]
10 | 9 | 24 |  [31->9->21->01]
11 | 6 | 29 |  [31->6->11]
12 | 9 | 12 |  [31->9->21]
13 | 13 | 0 |  [31]
dvrp takes 3578821 ns
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | -1 | -1 | -1 | 6 | -1 | 7 | -1 | -1 | -1 | -1 | -1 | -1 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | -1 | -1 | -1 | 6 | -1 | 7 | -1 | -1 | 9 | -1 | -1 | -1 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | 20 | 8 | -1 | 6 | -1 | 7 | -1 | -1 | 9 | -1 | 15 | -1 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | 20 | 8 | -1 | 6 | -1 | 7 | 12 | -1 | 9 | -1 | 15 | -1 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | 20 | 8 | 20 | 6 | -1 | 7 | 12 | -1 | 9 | -1 | 15 | -1 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | 20 | 8 | 20 | 6 | 29 | 7 | 12 | -1 | 9 | 28 | 15 | -1 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | 20 | 8 | 20 | 6 | 29 | 7 | 12 | 20 | 9 | 28 | 15 | -1 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | 20 | 8 | 20 | 6 | 29 | 7 | 12 | 20 | 9 | 28 | 15 | 27 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | 20 | 8 | 20 | 6 | 29 | 7 | 12 | 20 | 9 | 28 | 15 | 27 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | 20 | 8 | 20 | 6 | 22 | 7 | 12 | 20 | 9 | 28 | 15 | 27 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | 20 | 8 | 20 | 6 | 22 | 7 | 12 | 20 | 9 | 28 | 15 | 26 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 0 | 20 | 8 | 20 | 6 | 22 | 7 | 12 | 20 | 9 | 28 | 15 | 26 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
1->2 | 20 | 1->7->2
1->3 | 8 | 1->7->3
1->4 | 20 | 1->5->01->4
1->5 | 6 | 1->5
1->6 | 22 | 1->7->2->6
1->7 | 7 | 1->7
1->8 | 12 | 1->7->3->8
1->9 | 20 | 1->7->21->9
1->10 | 9 | 1->5->01
1->11 | 28 | 1->7->3->8->11
1->12 | 15 | 1->7->21
1->13 | 26 | 1->7->2->6->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 0 | -1 | -1 | -1 | 2 | 13 | -1 | -1 | -1 | -1 | -1 | -1 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 0 | -1 | 21 | -1 | 2 | 13 | 19 | -1 | -1 | 27 | -1 | 6 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 0 | -1 | 21 | -1 | 2 | 13 | 19 | 13 | -1 | 27 | -1 | 6 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 0 | -1 | 21 | -1 | 2 | 13 | 19 | 13 | -1 | 27 | 18 | 6 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 0 | 14 | 21 | -1 | 2 | 13 | 19 | 13 | -1 | 27 | 18 | 6 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 0 | 14 | 21 | -1 | 2 | 13 | 18 | 13 | -1 | 27 | 18 | 6 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 0 | 14 | 21 | -1 | 2 | 13 | 18 | 13 | 30 | 27 | 18 | 6 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 0 | 14 | 21 | -1 | 2 | 13 | 18 | 13 | 30 | 27 | 18 | 6 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 0 | 14 | 21 | 26 | 2 | 13 | 18 | 13 | 30 | 27 | 18 | 6 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 0 | 14 | 21 | 26 | 2 | 13 | 18 | 13 | 30 | 27 | 18 | 6 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 0 | 14 | 21 | 26 | 2 | 13 | 18 | 13 | 29 | 27 | 18 | 6 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 0 | 14 | 21 | 26 | 2 | 13 | 18 | 13 | 29 | 27 | 18 | 6 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
2->1 | 20 | 2->7->1
2->3 | 14 | 2->7->3
2->4 | 21 | 2->6->4
2->5 | 26 | 2->7->1->5
2->6 | 2 | 2->6
2->7 | 13 | 2->7
2->8 | 18 | 2->7->3->8
2->9 | 13 | 2->6->31->9
2->10 | 29 | 2->7->1->5->01
2->11 | 27 | 2->6->11
2->12 | 18 | 2->6->31->9->21
2->13 | 6 | 2->6->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | 0 | -1 | -1 | -1 | 1 | 4 | -1 | -1 | -1 | 8 | -1 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | -1 | -1 | -1 | 1 | 4 | -1 | -1 | -1 | 8 | -1 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | -1 | -1 | 21 | 1 | 4 | -1 | -1 | 20 | 8 | -1 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | -1 | -1 | 21 | 1 | 4 | 13 | 20 | 20 | 8 | -1 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | -1 | 14 | 21 | 1 | 4 | 13 | 20 | 20 | 8 | -1 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | -1 | 14 | 21 | 1 | 4 | 13 | 20 | 20 | 8 | 20 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | -1 | 14 | 21 | 1 | 4 | 13 | 17 | 20 | 8 | 20 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | -1 | 14 | 16 | 1 | 4 | 13 | 17 | 20 | 8 | 20 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | 35 | 14 | 16 | 1 | 4 | 13 | 17 | 20 | 8 | 20 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | 28 | 14 | 16 | 1 | 4 | 13 | 17 | 20 | 8 | 20 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | 28 | 14 | 16 | 1 | 4 | 13 | 17 | 20 | 8 | 20 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 8 | 14 | 0 | 28 | 14 | 16 | 1 | 4 | 13 | 17 | 20 | 8 | 20 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
3->1 | 8 | 3->7->1
3->2 | 14 | 3->7->2
3->4 | 28 | 3->7->1->5->01->4
3->5 | 14 | 3->7->1->5
3->6 | 16 | 3->7->2->6
3->7 | 1 | 3->7
3->8 | 4 | 3->8
3->9 | 13 | 3->21->9
3->10 | 17 | 3->7->1->5->01
3->11 | 20 | 3->8->11
3->12 | 8 | 3->21
3->13 | 20 | 3->21->9->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | -1 | 0 | -1 | 19 | -1 | -1 | -1 | 11 | -1 | -1 | -1 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | -1 | -1 | 0 | 14 | 19 | -1 | -1 | -1 | 11 | -1 | 23 | -1 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | -1 | -1 | 0 | 14 | 19 | -1 | -1 | -1 | 11 | -1 | 23 | -1 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 21 | -1 | 0 | 14 | 19 | -1 | 36 | -1 | 11 | 44 | 23 | 23 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 21 | -1 | 0 | 14 | 19 | 27 | 36 | -1 | 11 | 44 | 23 | 23 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 21 | -1 | 0 | 14 | 19 | 27 | 36 | -1 | 11 | 44 | 23 | 23 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 21 | -1 | 0 | 14 | 19 | 27 | 36 | 30 | 11 | 44 | 23 | 23 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 21 | 31 | 0 | 14 | 19 | 27 | 36 | 28 | 11 | 44 | 23 | 23 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 21 | 28 | 0 | 14 | 19 | 27 | 36 | 28 | 11 | 44 | 23 | 23 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 21 | 28 | 0 | 14 | 19 | 27 | 36 | 28 | 11 | 44 | 23 | 23 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 21 | 28 | 0 | 14 | 19 | 27 | 32 | 28 | 11 | 44 | 23 | 23 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 20 | 21 | 28 | 0 | 14 | 19 | 27 | 32 | 28 | 11 | 44 | 23 | 23 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
4->1 | 20 | 4->01->5->1
4->2 | 21 | 4->6->2
4->3 | 28 | 4->01->5->1->7->3
4->5 | 14 | 4->01->5
4->6 | 19 | 4->6
4->7 | 27 | 4->01->5->1->7
4->8 | 32 | 4->01->5->1->7->3->8
4->9 | 28 | 4->01->21->9
4->10 | 11 | 4->01
4->11 | 44 | 4->6->11
4->12 | 23 | 4->01->21
4->13 | 23 | 4->6->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | -1 | -1 | -1 | 0 | -1 | -1 | -1 | -1 | 3 | -1 | -1 | -1 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | -1 | -1 | 14 | 0 | -1 | -1 | -1 | -1 | 3 | -1 | 15 | -1 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | -1 | -1 | 14 | 0 | -1 | 13 | -1 | -1 | 3 | -1 | 15 | -1 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | 26 | 14 | 14 | 0 | -1 | 13 | -1 | -1 | 3 | -1 | 15 | -1 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | 26 | 14 | 14 | 0 | 33 | 13 | -1 | -1 | 3 | -1 | 15 | -1 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | 26 | 14 | 14 | 0 | 33 | 13 | 18 | -1 | 3 | -1 | 15 | -1 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | 26 | 14 | 14 | 0 | 33 | 13 | 18 | 20 | 3 | -1 | 15 | -1 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | 26 | 14 | 14 | 0 | 33 | 13 | 18 | 20 | 3 | 34 | 15 | -1 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | 26 | 14 | 14 | 0 | 33 | 13 | 18 | 20 | 3 | 34 | 15 | 27 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | 26 | 14 | 14 | 0 | 28 | 13 | 18 | 20 | 3 | 34 | 15 | 27 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | 26 | 14 | 14 | 0 | 28 | 13 | 18 | 20 | 3 | 34 | 15 | 27 | 
-----------------------------
Iter 12:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 6 | 26 | 14 | 14 | 0 | 28 | 13 | 18 | 20 | 3 | 34 | 15 | 27 | 
-----------------------------
Path [s] -> [d] | Min-Cost | Shortest-Path
5->1 | 6 | 5->1
5->2 | 26 | 5->1->7->2
5->3 | 14 | 5->1->7->3
5->4 | 14 | 5->01->4
5->6 | 28 | 5->1->7->2->6
5->7 | 13 | 5->1->7
5->8 | 18 | 5->1->7->3->8
5->9 | 20 | 5->01->21->9
5->10 | 3 | 5->01
5->11 | 34 | 5->1->7->3->8->11
5->12 | 15 | 5->01->21
5->13 | 27 | 5->01->21->9->31
Iter 1:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 2 | -1 | 19 | -1 | 0 | -1 | 17 | -1 | -1 | 25 | -1 | 4 | 
-----------------------------
Iter 2:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 2 | -1 | 19 | -1 | 0 | 15 | 17 | -1 | -1 | 25 | -1 | 4 | 
-----------------------------
Iter 3:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 2 | -1 | 19 | -1 | 0 | 15 | 17 | 11 | -1 | 25 | -1 | 4 | 
-----------------------------
Iter 4:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost -1 | 2 | -1 | 19 | -1 | 0 | 15 | 17 | 11 | -1 | 25 | 16 | 4 | 
-----------------------------
Iter 5:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 22 | 2 | 16 | 19 | -1 | 0 | 15 | 17 | 11 | -1 | 25 | 16 | 4 | 
-----------------------------
Iter 6:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 22 | 2 | 16 | 19 | -1 | 0 | 15 | 17 | 11 | 28 | 25 | 16 | 4 | 
-----------------------------
Iter 7:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 22 | 2 | 16 | 19 | -1 | 0 | 15 | 17 | 11 | 28 | 25 | 16 | 4 | 
-----------------------------
Iter 8:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 22 | 2 | 16 | 19 | -1 | 0 | 15 | 17 | 11 | 28 | 25 | 16 | 4 | 
-----------------------------
Iter 9:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 22 | 2 | 16 | 19 | -1 | 0 | 15 | 17 | 11 | 28 | 25 | 16 | 4 | 
-----------------------------
Iter 10:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
cost 22 | 2 | 16 | 19 | 28 | 0 | 15 | 17 | 11 | 28 | 25 | 16 | 4 | 
-----------------------------
Iter 11:
dest 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 
